planet_num,orbit_length,planet_dist,planet_mass,planet_update,planet_name,planet_facility,planet_telescope,planet_instrument
2,4.301219,363,0.352,2014-05-14,HAT-P-44 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
2,872.2,363,4,2014-05-14,HAT-P-44 c,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.128992,305,0.892,2014-05-14,HAT-P-45 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.463129,296,0.493,2014-05-14,HAT-P-46 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.691548,322,1.73,2014-05-14,HAT-P-49 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.788491,340,1.06,2014-05-14,HAT-P-5 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.1220109,497,1.35,2015-11-19,HAT-P-50 b,HATNet,multiple telescopes,multiple instruments
1,4.2180278,470,0.309,2015-11-19,HAT-P-51 b,HATNet,multiple telescopes,multiple instruments
1,2.7535953,385,0.818,2015-11-19,HAT-P-52 b,HATNet,multiple telescopes,multiple instruments
1,1.9616241,719,1.484,2015-11-19,HAT-P-53 b,HATNet,multiple telescopes,multiple instruments
1,3.799847,135.8,0.76,2015-04-24,HAT-P-54 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.5852467,480,0.582,2015-06-17,HAT-P-55 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.7908327,310.5,2.18,2015-07-23,HAT-P-56 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.465295,303,1.85,2015-11-05,HAT-P-57 b,HATNet,Multiple Telescopes,Multiple Instruments
1,3.852985,261,1.057,2014-05-14,HAT-P-6 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.6054552,841,0.527,2016-09-15,HAT-P-65 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.972086,927,0.783,2016-09-15,HAT-P-66 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.8101025,320,0.34,2017-04-13,HAT-P-67 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.2047372,320,1.682,2016-08-18,HAT-P-7 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.0763776,230,1.52,2014-05-14,HAT-P-8 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.92289,480,0.78,2014-05-14,HAT-P-9 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.446459,303,1.855,2014-05-14,HATS-1 b,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor
1,3.312846,496,0.526,2015-05-21,HATS-10 b,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor
1,3.6191613,906,0.85,2016-09-29,HATS-11 b,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor
1,3.142833,981,2.38,2016-09-29,HATS-12 b,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor
